stock_code,symbol,name,category,sub_category,currency
0094,0094.HK,GREENHEART GP,Equity,Equity Securities (Main Board),HKD
0095,0095.HK,LVGEM CHINA,Equity,Equity Securities (Main Board),HKD
0096,0096.HK,YUSEI,Equity,Equity Securities (Main Board),HKD
0097,0097.HK,HENDERSON INV,Equity,Equity Securities (Main Board),HKD
0098,0098.HK,XINGFA ALUM,Equity,Equity Securities (Main Board),HKD
0099,0099.HK,WONG'S INT'L,Equity,Equity Securities (Main Board),HKD
0100,0100.HK,MINIMAX-W,Equity,Equity Securities (Main Board),HKD
0101,0101.HK,HANG LUNG PPT,Equity,Equity Securities (Main Board),HKD
0103,0103.HK,SHOUGANG CENT,Equity,Equity Securities (Main Board),HKD
0104,0104.HK,ASIA COMM HOLD,Equity,Equity Securities (Main Board),HKD
0105,0105.HK,ASSO INT HOTELS,Equity,Equity Securities (Main Board),HKD
0106,0106.HK,LANDSEA MGMT,Equity,Equity Securities (Main Board),HKD
0107,0107.HK,SICHUAN EXPRESS,Equity,Equity Securities (Main Board),HKD
0108,0108.HK,SR MEDICAL,Equity,Equity Securities (Main Board),HKD
0110,0110.HK,CHINA FORTUNE,Equity,Equity Securities (Main Board),HKD
0111,0111.HK,CINDA INTL HLDG,Equity,Equity Securities (Main Board),HKD
0113,0113.HK,DICKSON CONCEPT,Equity,Equity Securities (Main Board),HKD
0114,0114.HK,HERALD HOLD,Equity,Equity Securities (Main Board),HKD
0115,0115.HK,GRAND FIELD GP,Equity,Equity Securities (Main Board),HKD
0116,0116.HK,CHOW SANG SANG,Equity,Equity Securities (Main Board),HKD
0117,0117.HK,TIANLI HOLDINGS,Equity,Equity Securities (Main Board),HKD
0118,0118.HK,COSMOS MACH,Equity,Equity Securities (Main Board),HKD
0119,0119.HK,POLY PROPERTY,Equity,Equity Securities (Main Board),HKD
0120,0120.HK,COSMOPOL INT'L,Equity,Equity Securities (Main Board),HKD
0122,0122.HK,CROCODILE,Equity,Equity Securities (Main Board),HKD
0123,0123.HK,YUEXIU PROPERTY,Equity,Equity Securities (Main Board),HKD
0124,0124.HK,GD LAND,Equity,Equity Securities (Main Board),HKD
0125,0125.HK,SUN HING VISION,Equity,Equity Securities (Main Board),HKD
0126,0126.HK,CARRIANNA,Equity,Equity Securities (Main Board),HKD
0127,0127.HK,CHINESE EST H,Equity,Equity Securities (Main Board),HKD
0128,0128.HK,ENM HOLDINGS,Equity,Equity Securities (Main Board),HKD
0129,0129.HK,ASIA STANDARD,Equity,Equity Securities (Main Board),HKD
0130,0130.HK,MOISELLE INT'L,Equity,Equity Securities (Main Board),HKD
0131,0131.HK,CHEUK NANG HOLD,Equity,Equity Securities (Main Board),HKD
0132,0132.HK,HING YIP HLDGS,Equity,Equity Securities (Main Board),HKD
0133,0133.HK,CHINA MERCHANTS,Equity,Investment Companies,HKD
0135,0135.HK,KUNLUN ENERGY,Equity,Equity Securities (Main Board),HKD
0136,0136.HK,CHINA RUYI,Equity,Equity Securities (Main Board),HKD
0137,0137.HK,JINHUI HOLDINGS,Equity,Equity Securities (Main Board),HKD
0138,0138.HK,CCT FORTIS,Equity,Equity Securities (Main Board),HKD
0139,0139.HK,SMART FISH,Equity,Equity Securities (Main Board),HKD
0142,0142.HK,FIRST PACIFIC,Equity,Equity Securities (Main Board),HKD
0144,0144.HK,CHINA MER PORT,Equity,Equity Securities (Main Board),HKD
0145,0145.HK,CCIAM FUTURE EN,Equity,Equity Securities (Main Board),HKD
0146,0146.HK,TAI PING CARPET,Equity,Equity Securities (Main Board),HKD
0147,0147.HK,IB SETTLEMENT,Equity,Equity Securities (Main Board),HKD
0148,0148.HK,KINGBOARD HLDG,Equity,Equity Securities (Main Board),HKD
0149,0149.HK,CH AGRI-PROD EX,Equity,Equity Securities (Main Board),HKD
0150,0150.HK,HYPEBEAST,Equity,Equity Securities (Main Board),HKD
0151,0151.HK,WANT WANT CHINA,Equity,Equity Securities (Main Board),HKD
0152,0152.HK,SHENZHEN INT'L,Equity,Equity Securities (Main Board),HKD
0154,0154.HK,BE ENVIRONMENT,Equity,Equity Securities (Main Board),HKD
0156,0156.HK,LIPPO CHINA RES,Equity,Equity Securities (Main Board),HKD
0157,0157.HK,NATURAL BEAUTY,Equity,Equity Securities (Main Board),HKD
0158,0158.HK,MELBOURNE ENT,Equity,Equity Securities (Main Board),HKD
0159,0159.HK,BROCKMAN MINING,Equity,Equity Securities (Main Board),HKD
0160,0160.HK,HON KWOK LAND,Equity,Equity Securities (Main Board),HKD
0162,0162.HK,CENTURY GINWA,Equity,Equity Securities (Main Board),HKD
0163,0163.HK,EMPEROR INT'L,Equity,Equity Securities (Main Board),HKD
0164,0164.HK,CHINA BAOLI TEC,Equity,Equity Securities (Main Board),HKD
0165,0165.HK,CHINA EB LTD,Equity,Equity Securities (Main Board),HKD
0166,0166.HK,NEW TIMES CORP,Equity,Equity Securities (Main Board),HKD
0167,0167.HK,IDT INT'L,Equity,Equity Securities (Main Board),HKD
0168,0168.HK,TSINGTAO BREW,Equity,Equity Securities (Main Board),HKD
0169,0169.HK,WANDA HOTEL DEV,Equity,Equity Securities (Main Board),HKD
0171,0171.HK,SILVER GRANT,Equity,Equity Securities (Main Board),HKD
0173,0173.HK,K. WAH INT'L,Equity,Equity Securities (Main Board),HKD
0174,0174.HK,GEMINI INV,Equity,Equity Securities (Main Board),HKD
0175,0175.HK,GEELY AUTO,Equity,Equity Securities (Main Board),HKD
0176,0176.HK,SUPERACTIVE GP,Equity,Equity Securities (Main Board),HKD
0177,0177.HK,JIANGSU EXPRESS,Equity,Equity Securities (Main Board),HKD
0178,0178.HK,SA SA INT'L,Equity,Equity Securities (Main Board),HKD
0179,0179.HK,JOHNSON ELEC H,Equity,Equity Securities (Main Board),HKD
0180,0180.HK,KADER HOLDINGS,Equity,Equity Securities (Main Board),HKD
0181,0181.HK,FUJIAN HOLDINGS,Equity,Equity Securities (Main Board),HKD
0182,0182.HK,CONCORD NE,Equity,Equity Securities (Main Board),HKD
0183,0183.HK,WINFULL GP,Equity,Equity Securities (Main Board),HKD
0184,0184.HK,KECK SENG INV,Equity,Equity Securities (Main Board),HKD
0185,0185.HK,ZENSUN ENT,Equity,Equity Securities (Main Board),HKD
0186,0186.HK,NIMBLE HOLDINGS,Equity,Equity Securities (Main Board),HKD
0187,0187.HK,JINGCHENG MAC,Equity,Equity Securities (Main Board),HKD
0188,0188.HK,SUNWAH KINGSWAY,Equity,Equity Securities (Main Board),HKD
0189,0189.HK,DONGYUE GROUP,Equity,Equity Securities (Main Board),HKD
0191,0191.HK,LAI SUN INT'L,Equity,Equity Securities (Main Board),HKD
0193,0193.HK,CAPITAL ESTATE,Equity,Equity Securities (Main Board),HKD
0194,0194.HK,LIU CHONG HING,Equity,Equity Securities (Main Board),HKD
0195,0195.HK,GREENTECH INTL,Equity,Equity Securities (Main Board),HKD
0196,0196.HK,HONGHUA GROUP,Equity,Equity Securities (Main Board),HKD
0197,0197.HK,HENG TAI,Equity,Equity Securities (Main Board),HKD
0199,0199.HK,ITC PROPERTIES,Equity,Equity Securities (Main Board),HKD
0200,0200.HK,MELCO INT'L DEV,Equity,Equity Securities (Main Board),HKD
0201,0201.HK,MAGNIFICENT,Equity,Equity Securities (Main Board),HKD
